Station Name,Station Code,Date,Time,DateTime,Water Level (meters) - Niveau d'eau (mètres),Discharge (cubic meters per second) - Débit (mètres cubes par seconde)
Cornwall,14870,2024-01-08,18:00,2024-01-08 18:00:00,0.472,262000.0
Cornwall,14870,2024-01-08,19:00,2024-01-08 19:00:00,0.453,262000.0
Cornwall,14870,2024-01-08,20:00,2024-01-08 20:00:00,0.438,262000.0
Cornwall,14870,2024-01-08,21:00,2024-01-08 21:00:00,0.44,262000.0
Cornwall,14870,2024-01-08,22:00,2024-01-08 22:00:00,0.44,262000.0
Cornwall,14870,2024-01-08,23:00,2024-01-08 23:00:00,0.432,262000.0
Cornwall,14870,2024-01-09,00:00,2024-01-09 00:00:00,0.427,262000.0
Cornwall,14870,2024-01-09,01:00,2024-01-09 01:00:00,0.424,262000.0
Cornwall,14870,2024-01-09,02:00,2024-01-09 02:00:00,0.428,262000.0
Cornwall,14870,2024-01-09,03:00,2024-01-09 03:00:00,0.43,262000.0
Cornwall,14870,2024-01-09,04:00,2024-01-09 04:00:00,0.426,262000.0
Cornwall,14870,2024-01-09,05:00,2024-01-09 05:00:00,0.431,262000.0
Cornwall,14870,2024-01-09,06:00,2024-01-09 06:00:00,0.437,262000.0
Cornwall,14870,2024-01-09,07:00,2024-01-09 07:00:00,0.455,262000.0
Cornwall,14870,2024-01-09,08:00,2024-01-09 08:00:00,0.482,262000.0
Cornwall,14870,2024-01-09,09:00,2024-01-09 09:00:00,0.488,262000.0
Cornwall,14870,2024-01-09,10:00,2024-01-09 10:00:00,0.483,262000.0
Cornwall,14870,2024-01-09,11:00,2024-01-09 11:00:00,0.469,262000.0
Cornwall,14870,2024-01-09,12:00,2024-01-09 12:00:00,0.475,262000.0
Cornwall,14870,2024-01-09,13:00,2024-01-09 13:00:00,0.483,262000.0
Cornwall,14870,2024-01-09,14:00,2024-01-09 14:00:00,0.495,262000.0
Cornwall,14870,2024-01-09,15:00,2024-01-09 15:00:00,0.525,262000.0
Cornwall,14870,2024-01-09,16:00,2024-01-09 16:00:00,0.556,262000.0
Cornwall,14870,2024-01-09,17:00,2024-01-09 17:00:00,0.569,262000.0
Cornwall,14870,2024-01-09,18:00,2024-01-09 18:00:00,0.59,262000.0
Cornwall,14870,2024-01-09,19:00,2024-01-09 19:00:00,0.594,262000.0
Cornwall,14870,2024-01-09,20:00,2024-01-09 20:00:00,0.575,262000.0
Cornwall,14870,2024-01-09,21:00,2024-01-09 21:00:00,0.566,262000.0
Cornwall,14870,2024-01-09,22:00,2024-01-09 22:00:00,0.59,262000.0
Cornwall,14870,2024-01-09,23:00,2024-01-09 23:00:00,0.563,262000.0
Cornwall,14870,2024-01-10,00:00,2024-01-10 00:00:00,0.503,262000.0
Cornwall,14870,2024-01-10,01:00,2024-01-10 01:00:00,0.493,262000.0
Cornwall,14870,2024-01-10,02:00,2024-01-10 02:00:00,0.464,262000.0
Cornwall,14870,2024-01-10,03:00,2024-01-10 03:00:00,0.466,262000.0
Cornwall,14870,2024-01-10,04:00,2024-01-10 04:00:00,0.441,262000.0
Cornwall,14870,2024-01-10,05:00,2024-01-10 05:00:00,0.433,262000.0
Cornwall,14870,2024-01-10,06:00,2024-01-10 06:00:00,0.417,262000.0
Cornwall,14870,2024-01-10,07:00,2024-01-10 07:00:00,0.4,262000.0
Cornwall,14870,2024-01-10,08:00,2024-01-10 08:00:00,0.388,262000.0
Cornwall,14870,2024-01-10,09:00,2024-01-10 09:00:00,0.379,262000.0
Cornwall,14870,2024-01-10,10:00,2024-01-10 10:00:00,0.369,262000.0
Cornwall,14870,2024-01-10,11:00,2024-01-10 11:00:00,0.362,262000.0
Cornwall,14870,2024-01-10,12:00,2024-01-10 12:00:00,0.348,262000.0
Cornwall,14870,2024-01-10,13:00,2024-01-10 13:00:00,0.34,262000.0
Cornwall,14870,2024-01-10,14:00,2024-01-10 14:00:00,0.33,262000.0
Cornwall,14870,2024-01-10,15:00,2024-01-10 15:00:00,0.299,262000.0
Cornwall,14870,2024-01-10,16:00,2024-01-10 16:00:00,0.293,262000.0
Cornwall,14870,2024-01-10,17:00,2024-01-10 17:00:00,0.313,262000.0
Cornwall,14870,2024-01-10,18:00,2024-01-10 18:00:00,0.319,262000.0
Cornwall,14870,2024-01-10,19:00,2024-01-10 19:00:00,0.299,262000.0
Cornwall,14870,2024-01-10,20:00,2024-01-10 20:00:00,0.285,262000.0
Cornwall,14870,2024-01-10,21:00,2024-01-10 21:00:00,0.277,262000.0
Cornwall,14870,2024-01-10,22:00,2024-01-10 22:00:00,0.282,262000.0
Cornwall,14870,2024-01-10,23:00,2024-01-10 23:00:00,0.292,262000.0
Cornwall,14870,2024-01-11,00:00,2024-01-11 00:00:00,0.31,262000.0
Cornwall,14870,2024-01-11,01:00,2024-01-11 01:00:00,0.325,262000.0
Cornwall,14870,2024-01-11,02:00,2024-01-11 02:00:00,0.328,262000.0
Cornwall,14870,2024-01-11,03:00,2024-01-11 03:00:00,0.334,262000.0
Cornwall,14870,2024-01-11,04:00,2024-01-11 04:00:00,0.343,262000.0
Cornwall,14870,2024-01-11,05:00,2024-01-11 05:00:00,0.346,262000.0
Cornwall,14870,2024-01-11,06:00,2024-01-11 06:00:00,0.341,262000.0
Cornwall,14870,2024-01-11,07:00,2024-01-11 07:00:00,0.337,262000.0
Cornwall,14870,2024-01-11,08:00,2024-01-11 08:00:00,0.33,262000.0
Cornwall,14870,2024-01-11,09:00,2024-01-11 09:00:00,0.331,262000.0
Cornwall,14870,2024-01-11,10:00,2024-01-11 10:00:00,0.336,262000.0
Cornwall,14870,2024-01-11,11:00,2024-01-11 11:00:00,0.349,262000.0
Cornwall,14870,2024-01-11,12:00,2024-01-11 12:00:00,0.357,262000.0
Cornwall,14870,2024-01-11,13:00,2024-01-11 13:00:00,0.361,262000.0
Cornwall,14870,2024-01-11,14:00,2024-01-11 14:00:00,0.363,262000.0
Cornwall,14870,2024-01-11,15:00,2024-01-11 15:00:00,0.366,262000.0
Cornwall,14870,2024-01-11,16:00,2024-01-11 16:00:00,0.366,262000.0
Cornwall,14870,2024-01-11,17:00,2024-01-11 17:00:00,0.371,262000.0
Cornwall,14870,2024-01-11,18:00,2024-01-11 18:00:00,0.374,262000.0
Cornwall,14870,2024-01-11,19:00,2024-01-11 19:00:00,0.374,262000.0
Cornwall,14870,2024-01-11,20:00,2024-01-11 20:00:00,0.371,262000.0
Cornwall,14870,2024-01-11,21:00,2024-01-11 21:00:00,0.366,262000.0
Cornwall,14870,2024-01-11,22:00,2024-01-11 22:00:00,0.375,262000.0
Cornwall,14870,2024-01-11,23:00,2024-01-11 23:00:00,0.379,262000.0
Cornwall,14870,2024-01-12,00:00,2024-01-12 00:00:00,0.379,262000.0
Cornwall,14870,2024-01-12,01:00,2024-01-12 01:00:00,0.376,262000.0
Cornwall,14870,2024-01-12,02:00,2024-01-12 02:00:00,0.377,262000.0
Cornwall,14870,2024-01-12,03:00,2024-01-12 03:00:00,0.381,262000.0
Cornwall,14870,2024-01-12,04:00,2024-01-12 04:00:00,0.382,262000.0
Cornwall,14870,2024-01-12,05:00,2024-01-12 05:00:00,0.381,262000.0
Cornwall,14870,2024-01-12,06:00,2024-01-12 06:00:00,0.383,262000.0
Cornwall,14870,2024-01-12,07:00,2024-01-12 07:00:00,0.383,262000.0
Cornwall,14870,2024-01-12,08:00,2024-01-12 08:00:00,0.383,262000.0
Cornwall,14870,2024-01-12,09:00,2024-01-12 09:00:00,0.383,262000.0
Cornwall,14870,2024-01-12,10:00,2024-01-12 10:00:00,0.389,262000.0
Cornwall,14870,2024-01-12,11:00,2024-01-12 11:00:00,0.391,262000.0
Cornwall,14870,2024-01-12,12:00,2024-01-12 12:00:00,0.392,262000.0
Cornwall,14870,2024-01-12,13:00,2024-01-12 13:00:00,0.394,262000.0
Cornwall,14870,2024-01-12,14:00,2024-01-12 14:00:00,0.4,262000.0
Cornwall,14870,2024-01-12,15:00,2024-01-12 15:00:00,0.408,262000.0
Cornwall,14870,2024-01-12,16:00,2024-01-12 16:00:00,0.417,262000.0
Cornwall,14870,2024-01-12,17:00,2024-01-12 17:00:00,0.433,262000.0
Cornwall,14870,2024-01-12,18:00,2024-01-12 18:00:00,0.481,262000.0
Cornwall,14870,2024-01-12,19:00,2024-01-12 19:00:00,0.511,262000.0
Cornwall,14870,2024-01-12,20:00,2024-01-12 20:00:00,0.511,262000.0
Cornwall,14870,2024-01-12,21:00,2024-01-12 21:00:00,0.529,262000.0
Cornwall,14870,2024-01-12,22:00,2024-01-12 22:00:00,0.529,262000.0
Cornwall,14870,2024-01-12,23:00,2024-01-12 23:00:00,0.53,262000.0
Cornwall,14870,2024-01-13,00:00,2024-01-13 00:00:00,0.514,263000.0
Cornwall,14870,2024-01-13,01:00,2024-01-13 01:00:00,0.552,263000.0
Cornwall,14870,2024-01-13,02:00,2024-01-13 02:00:00,0.622,263000.0
Cornwall,14870,2024-01-13,03:00,2024-01-13 03:00:00,0.678,263000.0
Cornwall,14870,2024-01-13,04:00,2024-01-13 04:00:00,0.658,263000.0
Cornwall,14870,2024-01-13,05:00,2024-01-13 05:00:00,0.61,263000.0
Cornwall,14870,2024-01-13,06:00,2024-01-13 06:00:00,0.537,263000.0
Cornwall,14870,2024-01-13,07:00,2024-01-13 07:00:00,0.507,263000.0
Cornwall,14870,2024-01-13,08:00,2024-01-13 08:00:00,0.495,263000.0
Cornwall,14870,2024-01-13,09:00,2024-01-13 09:00:00,0.501,263000.0
Cornwall,14870,2024-01-13,10:00,2024-01-13 10:00:00,0.49,263000.0
Cornwall,14870,2024-01-13,11:00,2024-01-13 11:00:00,0.493,263000.0
Cornwall,14870,2024-01-13,12:00,2024-01-13 12:00:00,0.473,263000.0
Cornwall,14870,2024-01-13,13:00,2024-01-13 13:00:00,0.441,263000.0
Cornwall,14870,2024-01-13,14:00,2024-01-13 14:00:00,0.394,263000.0
Cornwall,14870,2024-01-13,15:00,2024-01-13 15:00:00,0.359,263000.0
Cornwall,14870,2024-01-13,16:00,2024-01-13 16:00:00,0.334,263000.0
Cornwall,14870,2024-01-13,17:00,2024-01-13 17:00:00,0.287,263000.0
Cornwall,14870,2024-01-13,18:00,2024-01-13 18:00:00,0.276,263000.0
Cornwall,14870,2024-01-13,19:00,2024-01-13 19:00:00,0.272,263000.0
Cornwall,14870,2024-01-13,20:00,2024-01-13 20:00:00,0.28,263000.0
Cornwall,14870,2024-01-13,21:00,2024-01-13 21:00:00,0.267,263000.0
Cornwall,14870,2024-01-13,22:00,2024-01-13 22:00:00,0.251,263000.0
Cornwall,14870,2024-01-13,23:00,2024-01-13 23:00:00,0.239,263000.0
Cornwall,14870,2024-01-14,00:00,2024-01-14 00:00:00,0.226,263000.0
Cornwall,14870,2024-01-14,01:00,2024-01-14 01:00:00,0.224,263000.0
Cornwall,14870,2024-01-14,02:00,2024-01-14 02:00:00,0.182,263000.0
Cornwall,14870,2024-01-14,03:00,2024-01-14 03:00:00,0.141,263000.0
